0.5f, 0.40844727f, 0.39424133f, 0.3859024f, 0.37992096f, 0.37467957f, 0.37058973f, 0.36694717f, 0.3635292f, 0.3606987f, 
0.05873625f, 0.058694422f, 0.058652848f, 0.058613386f, 0.058575362f, 0.058535665f, 0.05849588f, 0.0584566f, 0.058417797f, 0.058378518f, 
0.058341593f, 0.058299303f, 0.058259323f, 0.058218807f, 0.058175325f, 0.058133647f, 0.058092892f, 0.058051825f, 0.05801121f, 0.05797243f, 
0.057933092f, 0.05789405f, 0.0578537f, 0.057815194f, 0.057774186f, 0.05773467f, 0.057692826f, 0.05765325f, 0.05761251f, 0.05757135f, 
0.05753076f, 0.057493687f, 0.057453603f, 0.057413757f, 0.057373226f, 0.057332873f, 0.0572913f, 0.057251275f, 0.057211716f, 0.057171226f, 
0.05713117f, 0.05708976f, 0.057050157f, 0.057009988f, 0.056969106f, 0.056930363f, 0.05688882f, 0.05685067f, 0.056809306f, 0.056768537f, 
0.05672896f, 0.056687713f, 0.056648195f, 0.05660908f, 0.056567453f, 0.056526423f, 0.056485713f, 0.0564456f, 0.056405455f, 0.0563656f, 
0.056325674f, 0.056287598f, 0.056250468f, 0.056207955f, 0.056169122f, 0.05612752f, 0.056086704f, 0.056048095f, 0.056007624f, 0.055969544f, 
0.0559299f, 0.055888295f, 0.05584854f, 0.055807024f, 0.0557667f, 0.055725195f, 0.05568421f, 0.055643022f, 0.055603355f, 0.055562947f, 
0.055520624f, 0.055482104f, 0.055441767f, 0.05540383f, 0.055365562f, 0.05532433f, 0.055284988f, 0.05524295f, 0.055205572f, 0.055165708f, 
0.055125654f, 0.055085175f, 0.05504495f, 0.055007234f, 0.054968596f, 0.054928422f, 0.054890037f, 0.054851517f, 0.054811597f, 0.054771245f, 
0.05473186f, 0.054690167f, 0.054651022f, 0.05461179f, 0.054571316f, 0.05453433f, 0.054497063f, 0.05445707f, 0.05441791f, 0.054376245f, 
0.054335445f, 0.054293986f, 0.05425555f, 0.0542171f, 0.054175377f, 0.054135665f, 0.054095864f, 0.054056168f, 0.054017067f, 0.05397685f, 
0.053936005f, 0.053895876f, 0.05385876f, 0.053820066f, 0.05378151f, 0.053743377f, 0.053703956f, 0.05366397f, 0.05362606f, 0.053585768f, 
0.053548127f, 0.053508624f, 0.053468347f, 0.0534276f, 0.053387657f, 0.05334731f, 0.053307727f, 0.053267747f, 0.05322653f, 0.053185448f, 
0.053145826f, 0.053106666f, 0.053068176f, 0.053027987f, 0.052988052f, 0.05294949f, 0.05291176f, 0.05287075f, 0.052830398f, 0.05279404f, 
0.05275479f, 0.052714467f, 0.052674904f, 0.05263661f, 0.052599035f, 0.052559935f, 0.052518606f, 0.052481174f, 0.052439794f, 0.052398875f, 
0.052360497f, 0.052319393f, 0.052280903f, 0.0522424f, 0.052205205f, 0.052164666f, 0.052124187f, 0.05208358f, 0.05204296f, 0.052003723f, 
0.051963538f, 0.051921487f, 0.051880274f, 0.051840357f, 0.051799588f, 0.051760636f, 0.05172217f, 0.05167842f, 0.051639527f, 0.051602483f, 
0.05156088f, 0.05152148f, 0.051478982f, 0.051438093f, 0.05139638f, 0.051356554f, 0.051315993f, 0.05127588f, 0.051236723f, 0.051198423f, 
0.051158667f, 0.05112058f, 0.051079392f, 0.051038653f, 0.05099821f, 0.05095862f, 0.050918818f, 0.050881386f, 0.050841346f, 0.05080223f, 
0.050762236f, 0.050722063f, 0.050682724f, 0.050643414f, 0.050601125f, 0.050562665f, 0.05052507f, 0.050486006f, 0.05044806f, 0.050409302f, 
0.050370216f, 0.05033338f, 0.05029434f, 0.050254226f, 0.050214767f, 0.05017394f, 0.0501343f, 0.050094876f, 0.05005431f, 0.05001566f, 
0.049977303f, 0.04993841f, 0.049901247f, 0.049859703f, 0.04982002f, 0.049779892f, 0.049741656f, 0.049704164f, 0.0496642f, 0.04962361f, 
0.04958453f, 0.049544215f, 0.0495031f, 0.049464047f, 0.049424976f, 0.049386665f, 0.049348727f, 0.04931009f, 0.049271792f, 0.049231887f, 
0.049194753f, 0.049153686f, 0.049114347f, 0.04907477f, 0.049033843f, 0.048994526f, 0.048956424f, 0.048916552f, 0.048878014f, 0.0488379f, 
0.048797105f, 0.0487594f, 0.04872021f, 0.048679493f, 0.048639655f, 0.048600987f, 0.048563026f, 0.048523515f, 0.048485458f, 0.048447415f, 
0.04840661f, 0.048369005f, 0.04832807f, 0.048288822f, 0.048247695f, 0.048208833f, 0.048169486f, 0.048130296f, 0.048092306f, 0.048051238f, 
0.048010856f, 0.047969013f, 0.047929645f, 0.0478898f, 0.047849655f, 0.04781112f, 0.047771335f, 0.047731284f, 0.047689825f, 0.047652096f, 
0.047611356f, 0.047571234f, 0.04753101f, 0.047495365f, 0.047458045f, 0.047420382f, 0.047380894f, 0.047343373f, 0.047305822f, 0.047266006f, 
0.04722637f, 0.047185898f, 0.04714804f, 0.04711043f, 0.047068447f, 0.047030687f, 0.046991557f, 0.046952486f, 0.046913683f, 0.046872634f, 
0.046830997f, 0.046791583f, 0.04675433f, 0.04671669f, 0.046677113f, 0.04663819f, 0.046598732f, 0.046559036f, 0.046519816f, 0.046479814f, 
0.046439692f, 0.046400636f, 0.04636097f, 0.046322465f, 0.046283558f, 0.046244055f, 0.046205312f, 0.046164393f, 0.046123654f, 0.04608362f, 
0.046045423f, 0.046007924f, 0.045967758f, 0.045927048f, 0.04588884f, 0.04584995f, 0.045809627f, 0.04577014f, 0.045730278f, 0.04569134f, 
0.04565245f, 0.04561138f, 0.04557149f, 0.04553306f, 0.04549575f, 0.045456484f, 0.04541728f, 0.04537821f, 0.04533744f, 0.045298144f, 
0.045259595f, 0.045220613f, 0.04518211f, 0.04514374f, 0.04510492f, 0.04506588f, 0.04502809f, 0.044987738f, 0.04494989f, 0.04491055f, 
0.044870332f, 0.0448308f, 0.04478857f, 0.04474964f, 0.044712007f, 0.044673502f, 0.04463446f, 0.044596314f, 0.044555865f, 0.044518687f, 
0.044480443f, 0.04444301f, 0.04440224f, 0.044362117f, 0.04432434f, 0.04428497f, 0.044246495f, 0.04420805f, 0.0441674f, 0.044127673f, 
0.04408741f, 0.044049047f, 0.044009626f, 0.04396957f, 0.04392895f, 0.04389137f, 0.043852866f, 0.043813705f, 0.043775856f, 0.043735422f, 
0.043696165f, 0.043657422f, 0.04362011f, 0.043581083f, 0.043542624f, 0.043504044f, 0.043465495f, 0.0434255f, 0.04338613f, 0.0433476f, 
0.04331033f, 0.043271065f, 0.0432318f, 0.043192834f, 0.043153524f, 0.04311642f, 0.04307866f, 0.04304003f, 0.043002367f, 0.042962678f, 
0.042923987f, 0.04288459f, 0.042847037f, 0.042810597f, 0.04277253f, 0.042734057f, 0.04269418f, 0.042655356f, 0.04261627f, 0.042574022f, 
0.042535245f, 0.04249628f, 0.042458817f, 0.042420566f, 0.042384252f, 0.04234457f, 0.042306855f, 0.04226847f, 0.042228624f, 0.04218921f, 
0.04215026f, 0.042111874f, 0.042074002f, 0.042034715f, 0.041996658f, 0.041959435f, 0.04192178f, 0.04188299f, 0.041846633f, 0.041808583f, 
0.041769587f, 0.041729927f, 0.041692354f, 0.0416525f, 0.041613817f, 0.041576236f, 0.04153578f, 0.041497707f, 0.041458666f, 0.041419625f, 
0.041380733f, 0.041341633f, 0.04130374f, 0.041264415f, 0.04122702f, 0.041186094f, 0.04114999f, 0.041110277f, 0.04107181f, 0.04103346f, 
0.040994525f, 0.0409552f, 0.040915906f, 0.04087782f, 0.040839314f, 0.04080034f, 0.040763423f, 0.040726304f, 0.04068899f, 0.040650606f, 
0.040612593f, 0.040575035f, 0.04053685f, 0.04049915f, 0.04046178f, 0.040424466f, 0.040387303f, 0.040347695f, 0.04030785f, 0.040269375f, 
0.04022993f, 0.040191382f, 0.040152043f, 0.040111557f, 0.040071964f, 0.040034562f, 0.039994642f, 0.039956093f, 0.03991741f, 0.039878607f, 
0.039840728f, 0.039802194f, 0.039764345f, 0.039725423f, 0.03968793f, 0.039650217f, 0.03961058f, 0.03957369f, 0.039535113f, 0.039496303f, 
0.039458934f, 0.03942415f, 0.03938514f, 0.03934598f, 0.039307058f, 0.039268605f, 0.039230168f, 0.039192557f, 0.039155066f, 0.039117575f, 
0.03908044f, 0.039043687f, 0.03900487f, 0.038966894f, 0.038929284f, 0.03889067f, 0.038852766f, 0.03881664f, 0.038778365f, 0.038738094f, 
0.038701326f, 0.03866315f, 0.038624883f, 0.03858313f, 0.038545966f, 0.03850794f, 0.038470402f, 0.03843364f, 0.038394637f, 0.03835714f, 
0.03831981f, 0.038282722f, 0.03824413f, 0.038204968f, 0.0381687f, 0.038129926f, 0.03809136f, 0.038052104f, 0.038014412f, 0.037975073f, 
0.03793712f, 0.03790039f, 0.03786263f, 0.037822336f, 0.037784457f, 0.037747934f, 0.037711382f, 0.037673473f, 0.037635744f, 0.03759563f, 
0.03755498f, 0.037515536f, 0.037478328f, 0.037437838f, 0.037397325f, 0.03735915f, 0.037321478f, 0.037283868f, 0.037248015f, 0.037210315f, 
0.03717175f, 0.037133783f, 0.03709422f, 0.037055373f, 0.03701631f, 0.03697741f, 0.03694026f, 0.03690207f, 0.036863547f, 0.036826506f, 
0.036789298f, 0.036750175f, 0.036711037f, 0.03667213f, 0.03663326f, 0.03659588f, 0.036560163f, 0.036521316f, 0.036482275f, 0.03644392f, 
0.036405325f, 0.03636557f, 0.03632815f, 0.036289677f, 0.036251605f, 0.036213696f, 0.036176473f, 0.036138546f, 0.036102176f, 0.036064953f, 
0.03602436f, 0.03598842f, 0.03595081f, 0.03591147f, 0.035872757f, 0.03583494f, 0.03579873f, 0.035760432f, 0.035723805f, 0.035685737f, 
0.035649657f, 0.035611447f, 0.035573363f, 0.0355352f, 0.035496056f, 0.035456f, 0.03541881f, 0.035383463f, 0.03534451f, 0.035309076f, 
0.03527057f, 0.035233676f, 0.035195515f, 0.03515725f, 0.03511914f, 0.03508094f, 0.035041094f, 0.0350039f, 0.0349652f, 0.034928635f, 
0.03488767f, 0.034852635f, 0.03481525f, 0.034777783f, 0.034740776f, 0.034703344f, 0.034666173f, 0.03462735f, 0.03459075f, 0.03455347f, 
0.034517705f, 0.034478784f, 0.03444177f, 0.034406513f, 0.034368575f, 0.034331705f, 0.03429465f, 0.034256957f, 0.034219794f, 0.034181967f, 
0.034142196f, 0.034103617f, 0.034066103f, 0.03402716f, 0.03398955f, 0.033952683f, 0.03391409f, 0.03387484f, 0.033834487f, 0.03379816f, 
0.03375846f, 0.033719122f, 0.033682376f, 0.033644497f, 0.03360796f, 0.033569694f, 0.03353361f, 0.03349653f, 0.033456683f, 0.033419013f, 
0.033380866f, 0.033341885f, 0.03330624f, 0.033269286f, 0.033231646f, 0.033195555f, 0.033157945f, 0.033120424f, 0.033082813f, 0.0330455f, 
0.033009335f, 0.032970592f, 0.032932468f, 0.032896124f, 0.032856464f, 0.0328179f, 0.03278017f, 0.032742143f, 0.03270495f, 0.03266849f, 
0.032630265f, 0.032592118f, 0.032552492f, 0.032515228f, 0.032478705f, 0.032441497f, 0.03240323f, 0.032366216f, 0.032328278f, 0.032287568f, 
0.032250464f, 0.032213002f, 0.032175064f, 0.03213708f, 0.03210056f, 0.032062322f, 0.03202334f, 0.031986535f, 0.031948507f, 0.03191189f, 
0.031874895f, 0.031838775f, 0.031801235f, 0.031763047f, 0.03172683f, 0.031689942f, 0.031652957f, 0.031615376f, 0.03157839f, 0.0315426f, 
0.03150312f, 0.03146568f, 0.031428292f, 0.0313904f, 0.03135264f, 0.031315655f, 0.03127843f, 0.031241238f, 0.031203985f, 0.031165361f, 
0.031125575f, 0.03108665f, 0.031047694f, 0.031009331f, 0.030970944f, 0.030931652f, 0.030892134f, 0.030854702f, 0.03081736f, 0.030780971f, 
0.030742407f, 0.030703925f, 0.030665636f, 0.03062749f, 0.030591592f, 0.03055419f, 0.030516535f, 0.03047911f, 0.030442908f, 0.030405104f, 
0.030368716f, 0.030332386f, 0.030294478f, 0.030254722f, 0.030218005f, 0.030179363f, 0.030141711f, 0.030105572f, 0.030069828f, 0.030030698f, 
0.02999121f, 0.029952765f, 0.02991426f, 0.029879153f, 0.029841617f, 0.029804692f, 0.029767469f, 0.029731125f, 0.029694349f, 0.029656053f, 
0.02961906f, 0.029583804f, 0.02954629f, 0.029509302f, 0.029472053f, 0.029435262f, 0.02939701f, 0.029360354f, 0.02932316f, 0.029284239f, 
0.029250592f, 0.029212028f, 0.02917391f, 0.029136822f, 0.029099762f, 0.02906102f, 0.02902472f, 0.028988466f, 0.028951034f, 0.028913021f, 
0.028876066f, 0.028840303f, 0.028801382f, 0.02876331f, 0.028726488f, 0.02868921f, 0.028651f, 0.028611064f, 0.028574884f, 0.028536081f, 
0.02849906f, 0.028461307f, 0.028425157f, 0.028388977f, 0.028352544f, 0.02831477f, 0.028276965f, 0.028239787f, 0.0282017f, 0.02816531f, 
0.028128263f, 0.028091758f, 0.028055727f, 0.02801917f, 0.027980467f, 0.027944528f, 0.027907968f, 0.027871192f, 0.027833272f, 0.027795792f, 
0.027758434f, 0.027722001f, 0.027683496f, 0.0276452f, 0.02760613f, 0.02757059f, 0.02753359f, 0.027496241f, 0.027460724f, 0.027426608f, 
0.02739133f, 0.027356636f, 0.02731955f, 0.027280807f, 0.027243018f, 0.02720572f, 0.027169406f, 0.02712968f, 0.027091322f, 0.02705479f, 
0.0270167f, 0.026979888f, 0.026942112f, 0.026907206f, 0.026870728f, 0.02683343f, 0.026796028f, 0.026759012f, 0.026721988f, 0.026684195f, 
0.026645996f, 0.026609786f, 0.026574284f, 0.026536644f, 0.026500016f, 0.026463926f, 0.02642478f, 0.026386455f, 0.026347503f, 0.026310533f, 
0.02627264f, 0.026236176f, 0.026199952f, 0.026160888f, 0.026124552f, 0.026084542f, 0.026048303f, 0.026008666f, 0.025970966f, 0.025934175f, 
0.025898062f, 0.025862098f, 0.025822848f, 0.025787026f, 0.025746357f, 0.025709093f, 0.025671482f, 0.025635462f, 0.02559784f, 0.025559615f, 
0.025523365f, 0.025486179f, 0.025449753f, 0.0254139f, 0.02537647f, 0.025340438f, 0.025301814f, 0.025265671f, 0.025228322f, 0.0251925f, 
0.025153756f, 0.025119007f, 0.025082856f, 0.02504474f, 0.025009215f, 0.024971724f, 0.024933755f, 0.024896443f, 0.02485846f, 0.024821028f, 
0.024784923f, 0.024748981f, 0.024711043f, 0.024674326f, 0.024637163f, 0.02460197f, 0.024566203f, 0.024529457f, 0.024493188f, 0.02445519f, 
0.024417162f, 0.02437985f, 0.024343133f, 0.024306767f, 0.024270773f, 0.024235368f, 0.024199888f, 0.024162203f, 0.024125129f, 0.02408874f, 
0.024052486f, 0.024014309f, 0.023978151f, 0.023942098f, 0.023905128f, 0.023868173f, 0.023832738f, 0.023797303f, 0.023758242f, 0.023723949f, 
0.023688376f, 0.023651496f, 0.02361393f, 0.023575664f, 0.023539364f, 0.02350299f, 0.023465455f, 0.023428202f, 0.023390502f, 0.023353338f, 
0.02331835f, 0.02327919f, 0.023242474f, 0.023206532f, 0.0231691f, 0.023132637f, 0.023098111f, 0.023061097f, 0.023025036f, 0.022987038f, 
0.022947775f, 0.02290941f, 0.022872746f, 0.022834882f, 0.02279824f, 0.022760287f, 0.022724114f, 0.022687793f, 0.022650182f, 0.022612125f, 
0.022574984f, 0.022538722f, 0.022503465f, 0.022465944f, 0.022430778f, 0.022391945f, 0.02235423f, 0.022318125f, 0.02227959f, 0.022243738f, 
0.022207856f, 0.022171736f, 0.022133708f, 0.022096574f, 0.022059739f, 0.022024453f, 0.02198755f, 0.02194837f, 0.021908402f, 0.021871358f, 
0.021837175f, 0.02180019f, 0.021765321f, 0.021727458f, 0.021689408f, 0.021654367f, 0.021617249f, 0.021581292f, 0.021543026f, 0.02150593f, 
0.021469742f, 0.021435231f, 0.021399602f, 0.021364905f, 0.021329045f, 0.02129364f, 0.021256268f, 0.02121973f, 0.021183312f, 0.021146528f, 
0.021110117f, 0.021071196f, 0.021035202f, 0.020999301f, 0.02096194f, 0.020926356f, 0.020889163f, 0.0208534f, 0.020816386f, 0.02077961f, 
0.020742983f, 0.020706963f, 0.020671695f, 0.020635158f, 0.020599551f, 0.020563409f, 0.020525813f, 0.020488977f, 0.020453155f, 0.020417243f, 
0.020379424f, 0.020343572f, 0.020307511f, 0.02026993f, 0.020233393f, 0.020199776f, 0.02016507f, 0.020127296f, 0.02009201f, 0.020055741f, 
0.020019561f, 0.019982934f, 0.019947767f, 0.019911632f, 0.019876644f, 0.019841284f, 0.01980552f, 0.019770265f, 0.019733828f, 0.019696862f, 
0.019659176f, 0.01962316f, 0.019586593f, 0.01955092f, 0.019515112f, 0.019478362f, 0.019441724f, 0.019405335f, 0.019367456f, 0.019331433f, 
0.019295478f, 0.019259036f, 0.0192229f, 0.019186556f, 0.019149065f, 0.019113317f, 0.019075863f, 0.019040063f, 0.019002259f, 0.01896809f, 
0.01893261f, 0.018896587f, 0.018861488f, 0.01882445f, 0.018786818f, 0.018749882f, 0.018712655f, 0.018676773f, 0.018639147f, 0.018602898f, 
0.0185664f, 0.01852876f, 0.018491369f, 0.018458508f, 0.01842165f, 0.018384635f, 0.018348277f, 0.018312484f, 0.018276691f, 0.018242553f, 
0.018207226f, 0.018170998f, 0.01813376f, 0.018096194f, 0.01805985f, 0.01802449f, 0.017988995f, 0.017951965f, 0.017915256f, 0.017879141f, 
0.017843246f, 0.017808557f, 0.017771859f, 0.017735064f, 0.017697334f, 0.017663032f, 0.017627135f, 0.01759237f, 0.017556533f, 0.017521508f, 
0.017484665f, 0.017449468f, 0.017411709f, 0.017374128f, 0.017339647f, 0.01730305f, 0.017265417f, 0.017229497f, 0.017193139f, 0.017155416f, 
0.017120264f, 0.017084718f, 0.01704961f, 0.017014384f, 0.016978323f, 0.016942114f, 0.016907156f, 0.016870141f, 0.016834967f, 0.016799718f, 
0.0167628f, 0.016726494f, 0.01668945f, 0.016654134f, 0.016619012f, 0.016582206f, 0.016547382f, 0.016511288f, 0.016475499f, 0.016441375f, 
0.016406436f, 0.016372394f, 0.016335621f, 0.016301602f, 0.016264796f, 0.016228989f, 0.01619333f, 0.016156912f, 0.016121447f, 0.016086876f, 
0.016048156f, 0.016013563f, 0.015978279f, 0.015942156f, 0.015906394f, 0.01586929f, 0.015834171f, 0.015799046f, 0.015761597f, 0.015725806f, 
0.015687853f, 0.015651107f, 0.015615404f, 0.01557984f, 0.015542746f, 0.0155074f, 0.015471041f, 0.015432835f, 0.015397519f, 0.015358865f, 
0.01532495f, 0.015290365f, 0.015256405f, 0.015221089f, 0.015186071f, 0.015148997f, 0.015112847f, 0.015076619f, 0.015039682f, 0.015006185f, 
0.014969323f, 0.014933185f, 0.014897883f, 0.0148620475f, 0.014826059f, 0.014790399f, 0.01475504f, 0.014717907f, 0.014680639f, 0.014644146f, 
0.0146053955f, 0.014569551f, 0.0145356655f, 0.014498971f, 0.014462702f, 0.0144277215f, 0.014389515f, 0.014351577f, 0.014316559f, 0.01428166f, 
0.014247641f, 0.014211744f, 0.01417622f, 0.014140695f, 0.014105942f, 0.014070332f, 0.01403429f, 0.01399827f, 0.013961405f, 0.013925232f, 
0.01388973f, 0.013854459f, 0.013819896f, 0.013783634f, 0.013746977f, 0.013710439f, 0.013675213f, 0.013638938f, 0.01360321f, 0.013567656f, 
0.013532162f, 0.013495833f, 0.013460241f, 0.013424277f, 0.013388857f, 0.013353139f, 0.01331836f, 0.013282135f, 0.013244629f, 0.013210058f, 
0.013174295f, 0.013140291f, 0.01310426f, 0.013069063f, 0.01303485f, 0.0129969865f, 0.01296024f, 0.012923239f, 0.012886882f, 0.012848973f, 
0.012812555f, 0.012778512f, 0.012741864f, 0.012704849f, 0.012668679f, 0.012633085f, 0.012597054f, 0.012560099f, 0.012524059f, 0.012488306f, 
0.012452487f, 0.012415737f, 0.012380663f, 0.012344837f, 0.012309372f, 0.012273074f, 0.012238577f, 0.012203395f, 0.012167394f, 0.012130439f, 
0.012092307f, 0.012058299f, 0.012022562f, 0.011987768f, 0.011952221f, 0.011918344f, 0.011883318f, 0.0118483305f, 0.011813695f, 0.011777759f, 
0.011741728f, 0.01170814f, 0.011671722f, 0.011636615f, 0.0115991235f, 0.0115656555f, 0.011531994f, 0.011497974f, 0.011460274f, 0.011424534f, 
0.011386991f, 0.011351109f, 0.011312962f, 0.011277437f, 0.011243075f, 0.011208773f, 0.011173725f, 0.011136112f, 0.011099145f, 0.011064559f, 
0.011030791f, 0.010995239f, 0.010960221f, 0.010926768f, 0.010890387f, 0.010855287f, 0.010820985f, 0.010783672f, 0.01074899f, 0.010713458f, 
0.010679126f, 0.01064546f, 0.0106089115f, 0.010571476f, 0.010536909f, 0.010500312f, 0.010462929f, 0.010427624f, 0.010392368f, 0.010355771f, 
0.010317683f, 0.010279581f, 0.010245264f, 0.0102107525f, 0.010174073f, 0.010138102f, 0.01010333f, 0.010067105f, 0.010033071f, 0.009997189f, 
0.009960726f, 0.009926856f, 0.00989119f, 0.009855241f, 0.009819433f, 0.009784013f, 0.009748101f, 0.009710789f, 0.009673119f, 0.009638444f, 
0.009602189f, 0.009567767f, 0.009531742f, 0.009496331f, 0.009459615f, 0.009423792f, 0.009388864f, 0.009354323f, 0.009318829f, 0.009284139f, 
0.009246916f, 0.009210855f, 0.0091765225f, 0.009140968f, 0.009106994f, 0.009072304f, 0.009035617f, 0.009002f, 0.008967413f, 0.008932054f, 
0.008898638f, 0.008863419f, 0.008828819f, 0.008794948f, 0.008759519f, 0.008724932f, 0.008688509f, 0.008654524f, 0.008619577f, 0.008584738f, 
0.008548871f, 0.008516252f, 0.00848186f, 0.008446276f, 0.0084117055f, 0.008375585f, 0.008339867f, 0.008306131f, 0.008271217f, 0.008235805f, 
0.00820142f, 0.00816524f, 0.00813029f, 0.008093655f, 0.0080587305f, 0.008022636f, 0.007988378f, 0.007953882f, 0.007916316f, 0.007880211f, 
0.007843029f, 0.0078082085f, 0.007771939f, 0.007736407f, 0.007699415f, 0.0076654404f, 0.007630408f, 0.007595837f, 0.0075597167f, 0.0075229406f, 
0.0074872673f, 0.0074519515f, 0.0074160695f, 0.0073806643f, 0.007345085f, 0.0073096156f, 0.0072751045f, 0.0072402284f, 0.007206708f, 0.007172525f, 
0.007134855f, 0.0071003437f, 0.0070654005f, 0.0070290267f, 0.0069923177f, 0.0069580227f, 0.006924033f, 0.006889783f, 0.0068539344f, 0.0068199337f, 
0.006786689f, 0.006749958f, 0.006717235f, 0.0066839457f, 0.006650597f, 0.0066147894f, 0.0065794177f, 0.0065445304f, 0.0065096617f, 0.006473154f, 
0.00643903f, 0.0064029396f, 0.0063673556f, 0.0063328147f, 0.006296158f, 0.0062612295f, 0.0062264204f, 0.0061912537f, 0.0061565638f, 0.006120205f, 
0.006084919f, 0.006049607f, 0.0060124137f, 0.005977154f, 0.0059425235f, 0.0059086084f, 0.0058725476f, 0.005836129f, 0.005800411f, 0.005764544f, 
0.005729124f, 0.005691886f, 0.005655531f, 0.0056203306f, 0.0055854917f, 0.00555164f, 0.0055152476f, 0.005479783f, 0.0054436326f, 0.005409181f, 
0.005373031f, 0.005336091f, 0.0053015947f, 0.005267501f, 0.005231127f, 0.005197078f, 0.005160928f, 0.005125843f, 0.005092576f, 0.005058229f, 
0.005023986f, 0.004988633f, 0.0049527884f, 0.0049182326f, 0.004883066f, 0.004849434f, 0.0048137903f, 0.004778981f, 0.004743457f, 0.004706327f, 
0.004670128f, 0.004634649f, 0.004598789f, 0.0045635253f, 0.0045286417f, 0.004490733f, 0.0044550896f, 0.0044209957f, 0.0043862164f, 0.0043521523f, 
0.0043156818f, 0.004280895f, 0.0042464435f, 0.004211843f, 0.004176393f, 0.004143238f, 0.0041079074f, 0.0040720627f, 0.00403744f, 0.0040019155f, 
0.0039687157f, 0.003932923f, 0.0038980395f, 0.0038639903f, 0.0038296431f, 0.0037943795f, 0.0037588477f, 0.0037227273f, 0.0036876202f, 0.0036547184f, 
0.003619969f, 0.0035834312f, 0.003546197f, 0.0035134722f, 0.0034779906f, 0.0034425855f, 0.0034060478f, 0.0033712015f, 0.0033355132f, 0.0033011436f, 
0.0032676458f, 0.0032328777f, 0.0031977594f, 0.003165722f, 0.0031318665f, 0.0031004548f, 0.0030636638f, 0.0030296454f, 0.0029953718f, 0.0029601008f, 
0.0029252097f, 0.0028912127f, 0.0028572083f, 0.0028230846f, 0.0027891397f, 0.0027536117f, 0.0027184486f, 0.002681166f, 0.0026465654f, 0.0026113093f, 
0.0025764853f, 0.0025415868f, 0.0025052316f, 0.0024690628f, 0.0024335515f, 0.0024003685f, 0.0023663044f, 0.0023313863f, 0.0022965334f, 0.0022610426f, 
0.0022252975f, 0.002189055f, 0.0021525845f, 0.002118051f, 0.0020834059f, 0.0020475835f, 0.002013743f, 0.001977764f, 0.0019435287f, 0.0019117296f, 
0.00187774f, 0.0018444508f, 0.0018120632f, 0.0017776638f, 0.0017433027f, 0.0017094351f, 0.0016748905f, 0.0016400218f, 0.001605384f, 0.0015702248f, 
0.0015332848f, 0.0014973506f, 0.0014638305f, 0.0014302135f, 0.0013965592f, 0.0013628602f, 0.0013260841f, 0.0012906492f, 0.0012563486f, 0.0012215972f, 
0.0011870861f, 0.0011551604f, 0.0011208951f, 0.0010867119f, 0.001051642f, 0.001019014f, 9.86062E-4f, 9.5110387E-4f, 9.1641204E-4f, 8.8335574E-4f, 
8.4745884E-4f, 8.1312656E-4f, 7.779598E-4f, 7.455349E-4f, 7.106811E-4f, 6.7549944E-4f, 6.4174086E-4f, 6.067455E-4f, 5.7341903E-4f, 5.389452E-4f, 
5.053878E-4f, 4.7063828E-4f, 4.363656E-4f, 4.016161E-4f, 3.682375E-4f, 3.3211708E-4f, 2.9717386E-4f, 2.6373565E-4f, 2.3031235E-4f, 1.9782782E-4f, 
1.6456842E-4f, 1.296401E-4f, 9.584427E-5f, 6.318092E-5f, 2.9802322E-5f, -2.361834E-6f, -3.7178397E-5f, -7.069111E-5f, -1.05291605E-4f, -1.3902038E-4f, 
-1.758933E-4f, -2.0968169E-4f, -2.4160743E-4f, -2.7421117E-4f, -3.0761957E-4f, -3.412962E-4f, -3.7622452E-4f, -4.1115284E-4f, -4.477948E-4f, -4.8339367E-4f, 
-5.181432E-4f, -5.543232E-4f, -5.879458E-4f, -6.218534E-4f, -6.5773726E-4f, -6.9212914E-4f, -7.2556734E-4f, -7.6025724E-4f, -7.93159E-4f, -8.272007E-4f, 
-8.625388E-4f, -8.9657307E-4f, -9.3334913E-4f, -9.6684694E-4f, -0.0010009408f, -0.0010365844f, -0.0010703132f, -0.001105845f, -0.0011402965f, -0.0011761189f, 
-0.0012114048f, -0.0012476593f, -0.0012811422f, -0.0013140738f, -0.0013468266f, -0.0013807658f, -0.0014166832f, -0.001451999f, -0.001486361f, -0.001522541f, 
-0.001557827f, -0.0015916824f, -0.0016277283f, -0.0016621053f, -0.0016959272f, -0.0017318875f, -0.0017673597f, -0.001804471f, -0.0018386394f, -0.001871407f, 
-0.0019051433f, -0.0019411743f, -0.0019765645f, -0.0020124018f, -0.0020474195f, -0.0020804703f, -0.0021152496f, -0.0021500587f, -0.0021859407f, -0.0022200346f, 
-0.002254732f, -0.0022876263f, -0.002324462f, -0.0023584366f, -0.002393946f, -0.0024306774f, -0.0024677962f, -0.0025025904f, -0.002537623f, -0.002574779f, 
-0.002608616f, -0.002644837f, -0.002680242f, -0.002717346f, -0.002753362f, -0.0027874624f, -0.0028215349f, -0.002857685f, -0.0028912947f, -0.0029271543f, 
-0.0029597282f, -0.0029950738f, -0.0030318126f, -0.00306575f, -0.0030994415f, -0.0031362474f, -0.0031709448f, -0.0032098144f, -0.003246218f, -0.0032791793f, 
